;ECC;PERIH_KM;EPOCH_JD;EPOCH_ET;LNODE_RAD;ARGP_RAD;I_RAD;GM_SUN;COMP_ET;M0_RAD;STATE_VEC;POS_VEC_KM;POS_VEC_WRT_EARTH_KM;ECLIP_LONG_DEG;ECLIP_LAT_DEG
587;0.2934821246749093;150500121.39699146;2459038.680234105;647454041.4105679;4.792304111874751;0.22361772335276714;0.0619279145688571;132712440041.9393;646747269.1841353;0.0;"[ 2.18236271e+07 -1.49340920e+08  6.09659561e+05  3.30836131e+01
  6.06389733e+00  2.07489168e+00]";[ 2.18236271e+07 -1.49340920e+08  6.09659561e+05];[-394503.6194116  1117505.06240273  603079.34260664];109.44414109370315;26.970943615111228
588;0.29340573801847686;150500438.84188545;2459038.680519784;647454066.0932308;4.792306880922073;0.22361549555479612;0.06191729843699455;132712440041.9393;646747269.1841353;0.0;"[ 2.18236875e+07 -1.49341148e+08  6.09531527e+05  3.30826758e+01
  6.06348302e+00  2.07447568e+00]";[ 2.18236875e+07 -1.49341148e+08  6.09531527e+05];[-394443.23912959 1117276.70638475  602951.30911143];109.44506375328722;26.97062767965916
589;0.29350849420940756;150500028.33404464;2459038.6801679824;647454035.6975781;4.7923036346508825;0.22361828993210903;0.06193000793573056;132712440041.9393;646747269.1841353;0.0;"[ 2.18235619e+07 -1.49340868e+08  6.09680907e+05  3.30839387e+01
  6.06403389e+00  2.07498270e+00]";[ 2.18235619e+07 -1.49340868e+08  6.09680907e+05];[-394568.83140704 1117557.28815526  603100.68836587];109.44627342652845;26.97037671808466
590;0.2934811026252138;150500123.72620666;2459038.680253787;647454043.1110989;4.792304532898655;0.22361880280536894;0.061930052631554544;132712440041.9393;646747269.1841353;0.0;"[ 2.18238032e+07 -1.49340897e+08  6.09687726e+05  3.30835882e+01
  6.06393295e+00  2.07496222e+00]";[ 2.18238032e+07 -1.49340897e+08  6.09687726e+05];[-394327.57643312 1117527.99134713  603107.50805931];109.43574608430863;26.972747709231477
591;0.29353232039271404;150500047.88398173;2459038.6800979027;647454029.6426922;4.792302994387533;0.22362018245029378;0.06193649123309022;132712440041.9393;646747269.1841353;0.0;"[ 2.18237435e+07 -1.49340888e+08  6.09761999e+05  3.30842036e+01
  6.06420263e+00  2.07521755e+00]";[ 2.18237435e+07 -1.49340888e+08  6.09761999e+05];[-394387.26132735 1117536.81900337  603181.78083643];109.43832523935902;26.975048977088218
592;0.2934798211496624;150500259.20748758;2459038.680287525;647454046.0260693;4.792305398000383;0.22361684812667473;0.06192483328307005;132712440041.9393;646747269.1841353;0.0;"[ 2.18236102e+07 -1.49341063e+08  6.09615383e+05  3.30835766e+01
  6.06387861e+00  2.07478610e+00]";[ 2.18236102e+07 -1.49341063e+08  6.09615383e+05];[-394520.55229121 1117361.67819953  603035.16427571];109.44722103543704;26.971779220926003
593;0.29339465771061246;150500511.25347513;2459038.6805173606;647454065.8838574;4.792305949418494;0.2236153938962685;0.06191601201015395;132712440041.9393;646747269.1841353;0.0;"[ 2.18236654e+07 -1.49341208e+08  6.09525867e+05  3.30825398e+01
  6.06340851e+00  2.07442350e+00]";[ 2.18236654e+07 -1.49341208e+08  6.09525867e+05];[-394465.37079359 1117217.25343299  602945.64816981];109.44703007872607;26.9713620335493
594;0.2935586027474572;150499960.7122402;2459038.6802507415;647454042.8479763;4.7923038340542785;0.2236217244841994;0.06193826982026937;132712440041.9393;646747269.1841353;0.0;"[ 2.18233976e+07 -1.49340906e+08  6.09750242e+05  3.30845301e+01
  6.06430587e+00  2.07529817e+00]";[ 2.18233976e+07 -1.49340906e+08  6.09750242e+05];[-394733.12345741 1117519.00640681  603170.02384379];109.45437889786312;26.97267546763531
595;0.2934817112287191;150500237.91964054;2459038.6803125623;647454048.1892849;4.792303978737134;0.22361932611377208;0.0619298786077621;132712440041.9393;646747269.1841353;0.0;"[ 2.18236683e+07 -1.49341039e+08  6.09682150e+05  3.30835873e+01
  6.06390743e+00  2.07495608e+00]";[ 2.18236683e+07 -1.49341039e+08  6.09682150e+05];[-394462.39281311 1117386.41815162  603101.93176392];109.44417106772339;26.974265886631148
596;0.2936566644554663;150499797.4797141;2459038.6798008005;647454003.9730679;4.792301378006259;0.2236225122480473;0.06195111422576723;132712440041.9393;646747269.1841353;0.0;"[ 2.18235061e+07 -1.49340822e+08  6.09907082e+05  3.30857066e+01
  6.06485195e+00  2.07580457e+00]";[ 2.18235061e+07 -1.49340822e+08  6.09907082e+05];[-394624.60163528 1117602.63843209  603326.86362309];109.44808578282347;26.97786255226006
